timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1735227794558,36,POST /booking/,201,,Admin makes a booking 1-21,text,true,,392,579,7,8,http://localhost:8080/booking/,36,0,0
1735227795737,17,POST /auth/login,200,,Admin makes a booking 1-27,,true,,177,332,7,9,http://localhost:8080/auth/login,17,0,0
1735227795749,6,GET /branding/,200,,Guest makes a booking 2-27,text,true,,785,252,2,9,http://localhost:8080/branding/,6,0,1
1735227796558,10,GET /report/room/1,200,,Guest makes a booking 2-26,text,true,,2722,256,2,9,http://localhost:8080/report/room/1,10,0,0
1735227796568,34,POST /booking/,201,,Guest makes a booking 2-26,text,true,,388,537,2,9,http://localhost:8080/booking/,34,0,0
1735227796605,11,POST /booking/,409,,Admin makes a booking 1-20,text,false,,153,575,7,8,http://localhost:8080/booking/,11,0,0
1735227797060,22,POST /auth/validate,200,,Admin makes a booking 1-25,,true,,133,344,6,7,http://localhost:8080/auth/validate,22,0,0
1735227797082,5,GET /message/count,200,,Admin makes a booking 1-25,text,true,,224,288,6,7,http://localhost:8080/message/count,4,0,0
1735227797149,4,GET /room/,200,,Guest makes a booking 2-27,text,true,,528,248,1,7,http://localhost:8080/room/,4,0,0
1735227798571,39,POST /booking/,201,,Admin makes a booking 1-22,text,true,,394,583,6,7,http://localhost:8080/booking/,39,0,0
1735227798737,11,POST /auth/login,200,,Admin makes a booking 1-28,,true,,177,332,6,8,http://localhost:8080/auth/login,11,0,1
1735227798746,5,GET /branding/,200,,Guest makes a booking 2-28,text,true,,785,252,2,8,http://localhost:8080/branding/,5,0,0
1735227798763,14,POST /auth/validate,200,,Admin makes a booking 1-26,,true,,133,344,6,8,http://localhost:8080/auth/validate,14,0,0
1735227798778,4,GET /message/count,200,,Admin makes a booking 1-26,text,true,,224,288,6,8,http://localhost:8080/message/count,4,0,0
1735227799413,15,POST /auth/validate,200,,Admin makes a booking 1-27,,true,,133,344,6,8,http://localhost:8080/auth/validate,15,0,0
1735227799428,4,GET /message/count,200,,Admin makes a booking 1-27,text,true,,224,288,6,8,http://localhost:8080/message/count,4,0,0
1735227799651,4,GET /room/,200,,Admin makes a booking 1-25,text,true,,528,280,6,8,http://localhost:8080/room/,4,0,0
1735227799655,22,GET /report/,200,,Admin makes a booking 1-25,text,true,,3430,282,6,8,http://localhost:8080/report/,22,0,0
1735227799780,7,GET /room/,200,,Admin makes a booking 1-24,text,true,,528,280,6,8,http://localhost:8080/room/,7,0,0
1735227799826,8,GET /room/,200,,Admin makes a booking 1-23,text,true,,528,280,6,8,http://localhost:8080/room/,8,0,0
1735227799849,10,GET /report/room/1,200,,Guest makes a booking 2-27,text,true,,2850,256,2,8,http://localhost:8080/report/room/1,10,0,0
1735227799859,35,POST /booking/,201,,Guest makes a booking 2-27,text,true,,388,538,2,8,http://localhost:8080/booking/,35,0,0
1735227801595,4,GET /room/,200,,Admin makes a booking 1-26,text,true,,528,280,6,7,http://localhost:8080/room/,4,0,0
1735227801599,31,GET /report/,200,,Admin makes a booking 1-26,text,true,,3505,282,6,7,http://localhost:8080/report/,31,0,0
1735227801732,5,GET /room/,200,,Guest makes a booking 2-28,text,true,,528,248,1,8,http://localhost:8080/room/,5,0,0
1735227801746,7,GET /branding/,200,,Guest makes a booking 2-29,text,true,,785,252,2,9,http://localhost:8080/branding/,7,0,1
1735227801735,18,POST /auth/login,200,,Admin makes a booking 1-29,,true,,177,332,7,9,http://localhost:8080/auth/login,18,0,0
1735227801852,8,POST /auth/validate,200,,Admin makes a booking 1-28,,true,,133,344,7,9,http://localhost:8080/auth/validate,8,0,0
1735227801860,4,GET /message/count,200,,Admin makes a booking 1-28,text,true,,224,288,7,9,http://localhost:8080/message/count,4,0,0
1735227802419,5,GET /room/,200,,Admin makes a booking 1-27,text,true,,528,280,7,9,http://localhost:8080/room/,5,0,0
1735227802425,39,GET /report/,200,,Admin makes a booking 1-27,text,true,,3505,282,7,9,http://localhost:8080/report/,39,0,0
1735227802804,4,GET /room/,200,,Guest makes a booking 2-29,text,true,,528,248,2,9,http://localhost:8080/room/,4,0,0
1735227803552,5,GET /room/,200,,Admin makes a booking 1-28,text,true,,528,280,7,9,http://localhost:8080/room/,5,0,0
1735227803557,36,GET /report/,200,,Admin makes a booking 1-28,text,true,,3505,282,7,9,http://localhost:8080/report/,36,0,0
1735227803672,8,GET /report/room/1,200,,Guest makes a booking 2-28,text,true,,2914,256,2,9,http://localhost:8080/report/room/1,8,0,0
1735227803681,34,POST /booking/,201,,Guest makes a booking 2-28,text,true,,390,541,2,9,http://localhost:8080/booking/,34,0,0
1735227804747,6,GET /branding/,200,,Guest makes a booking 2-30,text,true,,785,252,2,10,http://localhost:8080/branding/,6,0,0
1735227804735,18,POST /auth/login,200,,Admin makes a booking 1-30,,true,,177,332,8,10,http://localhost:8080/auth/login,18,0,0
1735227804787,11,POST /booking/,409,,Admin makes a booking 1-24,text,false,,153,577,8,10,http://localhost:8080/booking/,11,0,0
1735227804835,27,POST /booking/,201,,Admin makes a booking 1-23,text,true,,391,576,7,9,http://localhost:8080/booking/,26,0,0
1735227805623,8,GET /report/room/1,200,,Guest makes a booking 2-29,text,true,,3042,256,2,8,http://localhost:8080/report/room/1,8,0,0
1735227805632,31,POST /booking/,201,,Guest makes a booking 2-29,text,true,,389,540,2,8,http://localhost:8080/booking/,31,0,0
1735227806306,4,GET /room/,200,,Guest makes a booking 2-30,text,true,,528,248,1,7,http://localhost:8080/room/,4,0,0
1735227806605,17,POST /auth/validate,200,,Admin makes a booking 1-29,,true,,133,344,6,7,http://localhost:8080/auth/validate,17,0,0
1735227806622,4,GET /message/count,200,,Admin makes a booking 1-29,text,true,,224,288,6,7,http://localhost:8080/message/count,4,0,0
1735227806975,5,GET /room/,200,,Admin makes a booking 1-25,text,true,,528,280,6,7,http://localhost:8080/room/,5,0,0
1735227807670,8,GET /report/room/1,200,,Guest makes a booking 2-30,text,true,,3106,256,1,7,http://localhost:8080/report/room/1,8,0,0
1735227807679,28,POST /booking/,201,,Guest makes a booking 2-30,text,true,,397,555,1,7,http://localhost:8080/booking/,28,0,0
1735227807745,7,GET /branding/,200,,Guest makes a booking 2-31,text,true,,785,252,1,8,http://localhost:8080/branding/,7,0,0
1735227807735,19,POST /auth/login,200,,Admin makes a booking 1-31,,true,,177,332,7,8,http://localhost:8080/auth/login,19,0,1
1735227808413,6,GET /room/,200,,Admin makes a booking 1-26,text,true,,528,280,7,8,http://localhost:8080/room/,6,0,0
1735227808816,18,POST /auth/validate,200,,Admin makes a booking 1-30,,true,,133,344,7,8,http://localhost:8080/auth/validate,18,0,0
1735227808835,4,GET /message/count,200,,Admin makes a booking 1-30,text,true,,224,288,7,8,http://localhost:8080/message/count,4,0,0
1735227808838,4,GET /room/,200,,Guest makes a booking 2-31,text,true,,528,248,1,8,http://localhost:8080/room/,4,0,0
1735227809014,6,GET /room/,200,,Admin makes a booking 1-27,text,true,,528,280,7,8,http://localhost:8080/room/,6,0,0
1735227809042,5,GET /room/,200,,Admin makes a booking 1-29,text,true,,528,280,7,8,http://localhost:8080/room/,5,0,0
1735227809047,23,GET /report/,200,,Admin makes a booking 1-29,text,true,,3818,282,7,8,http://localhost:8080/report/,23,0,0
1735227809389,5,GET /room/,200,,Admin makes a booking 1-28,text,true,,528,280,7,8,http://localhost:8080/room/,5,0,0
1735227810101,9,GET /report/room/1,200,,Guest makes a booking 2-31,text,true,,3170,256,1,8,http://localhost:8080/report/room/1,9,0,0
1735227810111,25,POST /booking/,201,,Guest makes a booking 2-31,text,true,,390,542,1,8,http://localhost:8080/booking/,25,0,0
1735227810744,5,GET /branding/,200,,Guest makes a booking 2-32,text,true,,785,252,1,9,http://localhost:8080/branding/,5,0,1
1735227810732,21,POST /auth/login,200,,Admin makes a booking 1-32,,true,,177,332,8,9,http://localhost:8080/auth/login,21,0,1
1735227811274,3,GET /room/,200,,Admin makes a booking 1-30,text,true,,528,280,8,9,http://localhost:8080/room/,3,0,0
1735227811278,36,GET /report/,200,,Admin makes a booking 1-30,text,true,,3895,282,8,9,http://localhost:8080/report/,36,0,0
1735227811981,12,POST /booking/,409,,Admin makes a booking 1-25,text,false,,153,573,8,9,http://localhost:8080/booking/,12,0,0
1735227813420,28,POST /booking/,201,,Admin makes a booking 1-26,text,true,,393,588,7,8,http://localhost:8080/booking/,28,0,0
1735227813535,4,GET /room/,200,,Guest makes a booking 2-32,text,true,,528,248,1,7,http://localhost:8080/room/,4,0,0
1735227813731,11,POST /auth/login,200,,Admin makes a booking 1-33,,true,,177,332,7,8,http://localhost:8080/auth/login,11,0,1
1735227813744,5,GET /branding/,200,,Guest makes a booking 2-33,text,true,,785,252,2,9,http://localhost:8080/branding/,5,0,1
1735227813896,16,POST /auth/validate,200,,Admin makes a booking 1-31,,true,,133,344,7,9,http://localhost:8080/auth/validate,16,0,0
1735227813912,5,GET /message/count,200,,Admin makes a booking 1-31,text,true,,224,288,7,9,http://localhost:8080/message/count,5,0,0
1735227814021,15,POST /booking/,409,,Admin makes a booking 1-27,text,false,,153,576,7,9,http://localhost:8080/booking/,15,0,0
1735227814395,11,POST /booking/,409,,Admin makes a booking 1-28,text,false,,153,571,6,8,http://localhost:8080/booking/,11,0,0
1735227815299,4,GET /room/,200,,Admin makes a booking 1-30,text,true,,528,280,5,7,http://localhost:8080/room/,4,0,0
1735227815482,5,GET /room/,200,,Admin makes a booking 1-31,text,true,,528,280,5,7,http://localhost:8080/room/,5,0,0
1735227815487,36,GET /report/,200,,Admin makes a booking 1-31,text,true,,3975,282,5,7,http://localhost:8080/report/,36,0,0
1735227815544,13,GET /report/room/1,200,,Guest makes a booking 2-32,text,true,,3298,256,2,7,http://localhost:8080/report/room/1,13,0,0
1735227815558,27,POST /booking/,201,,Guest makes a booking 2-32,text,true,,389,539,2,7,http://localhost:8080/booking/,27,0,0
1735227815600,5,GET /room/,200,,Admin makes a booking 1-29,text,true,,528,280,5,6,http://localhost:8080/room/,5,0,0
1735227816222,4,GET /room/,200,,Guest makes a booking 2-33,text,true,,528,248,1,6,http://localhost:8080/room/,4,0,0
1735227816731,13,POST /auth/login,200,,Admin makes a booking 1-34,,true,,177,332,6,7,http://localhost:8080/auth/login,13,0,1
